source;code;target
https://www.bobvila.com/articles/web-stories/growing-winter-vegetables/;301;https://www.bobvila.com/articles/vegetables-to-plant-in-winter/
https://www.bobvila.com/articles/web-stories/aging-in-place-remodeling-ideas/;301;https://www.bobvila.com/articles/aging-in-place-design-tips/
https://www.bobvila.com/articles/web-stories/home-hacks-with-rice/;301;https://www.bobvila.com/articles/uses-for-rice/
https://www.bobvila.com/articles/web-stories/how-to-paint-furniture-like-a-pro/;301;https://www.bobvila.com/articles/how-to-paint-furniture-for-beginners/
https://www.bobvila.com/articles/web-stories/testing-greenworks-electric-snow-shovel/;301;https://www.bobvila.com/articles/greenworks-80v-electric-snow-shovel-review/
https://www.bobvila.com/articles/web-stories/common-kitchen-appliance-mistakes/;301;https://www.bobvila.com/articles/appliance-mistakes/
https://www.bobvila.com/articles/web-stories/types-of-wildflowers-for-home-gardens/;301;https://www.bobvila.com/articles/types-of-wildflowers/
https://www.bobvila.com/articles/web-stories/surprising-places-to-find-free-gardening-supplies/;301;https://www.bobvila.com/articles/free-gardening-supplies/
https://www.bobvila.com/articles/web-stories/large-halloween-yard-decorations/;301;https://www.bobvila.com/articles/best-halloween-decorations/
https://www.bobvila.com/articles/web-stories/surprising-things-you-can-clean-in-a-washing-machine/;301;https://www.bobvila.com/articles/uses-of-a-washing-machine/
https://www.bobvila.com/articles/web-stories/how-to-rake-leaves/;301;https://www.bobvila.com/articles/rake-leaves/
https://www.bobvila.com/articles/web-stories/perennials-to-plant-in-the-fall-for-spring-flowers/;301;https://www.bobvila.com/articles/spring-flowers/
https://www.bobvila.com/articles/web-stories/things-to-know-when-insulating-basement-walls/;301;https://www.bobvila.com/articles/insulating-basement-walls/
https://www.bobvila.com/articles/web-stories/reasons-to-consider-a-creeping-thyme-lawn/;301;https://www.bobvila.com/articles/creeping-thyme-lawn/
https://www.bobvila.com/articles/web-stories/flying-insects-inside-house/;301;https://www.bobvila.com/articles/small-black-flying-bugs-in-house-not-fruit-flies/
