"Full URL";"Canonical To Full URL"
"https://taskandpurpose.com/news/us-troops-iraq-leaving-small-bases-isis-iran/?utm_content=buffer6fb91";"https://taskandpurpose.com/news/us-troops-iraq-leaving-small-bases-isis-iran/"
"https://taskandpurpose.com/news/air-force-security-forces-barrier/?fbclid=IwAR0cUAzpP9vT9qAIGhaYWD_abbZnM0WHcjavCVmOq_anWBcLyM6fjRzTDKg";"https://taskandpurpose.com/news/air-force-security-forces-barrier/"
"https://taskandpurpose.com/news/nato-aircraft-carriers-mediterranean-exercises-russia/?fbclid=IwAR0xsy3cgtZCxOL-uk_Kq4QssiRRw0SVGIicDWhxs7n9qyL8ea3F8hX9iho";"https://taskandpurpose.com/news/nato-aircraft-carriers-mediterranean-exercises-russia/"
"https://taskandpurpose.com/news/marine-corps-veteran-afghanistan-interpreter/?fbclid=IwAR291Nr61o4sTOSk7lzwTHl3UBbXtTDP2NaQhzjhbiq32KTGU4XG2pM4qmA";"https://taskandpurpose.com/news/marine-corps-veteran-afghanistan-interpreter/"
"https://taskandpurpose.com/opinion/why-nobody-wants-to-join-the-army-this-year/?utm_campaign=trueanthem_AI";"https://taskandpurpose.com/opinion/why-nobody-wants-to-join-the-army-this-year/"
"https://taskandpurpose.com/news/army-suicide-rate-2020/?fbclid=IwAR0uSQu4sHLXqh9EYKr1AnQi0rcwdU_4TRVpdrwNTe8oiubrv9rBLAb4TAQ";"https://taskandpurpose.com/news/army-suicide-rate-2020/"
"https://taskandpurpose.com/news/ukraine-is-now-using-russias-own-tanks-against-them/?utm_campaign=trueanthem_manual";"https://taskandpurpose.com/news/ukraine-is-now-using-russias-own-tanks-against-them/"
"https://taskandpurpose.com/history/world-war-ii-mia-pow-remains-recovered/?utm_campaign=trueanthem_manual";"https://taskandpurpose.com/history/world-war-ii-mia-pow-remains-recovered/"
"https://taskandpurpose.com/news/wagner-group-rebellion-russia-rostov/?_thumbnail_id=287165";"https://taskandpurpose.com/news/wagner-group-rebellion-russia-rostov/"
"https://taskandpurpose.com/news/netflix-space-force-premieres-may/?utm_term=Autofeed";"https://taskandpurpose.com/news/netflix-space-force-premieres-may/"
"https://taskandpurpose.com/news/100-women-army-ranger-school/?taid=622b94e68e92f0000157c3c5";"https://taskandpurpose.com/news/100-women-army-ranger-school/"
"https://taskandpurpose.com/gear/wander-tactical-lynx-review/?fbclid=IwAR0CKtjqkDgRIi9cCMBt-qcmXuKhorobvpvB2hpla7HKxrIWIU836TLOg2Y";"https://taskandpurpose.com/gear/wander-tactical-lynx-review/"
"https://taskandpurpose.com/news/navy-laser-weapon-video/?fbclid=IwAR2HQTK-HXvKt--hnodU0cF8QI45KrhPQOYlDmtujLulj6Jwd7ZVAFEX9hs";"https://taskandpurpose.com/news/navy-laser-weapon-video/"
"https://taskandpurpose.com/news/army-private-admits-planning-mass-casualty-attack-on-soldiers/?utm_campaign=trueanthem_AI";"https://taskandpurpose.com/news/army-private-admits-planning-mass-casualty-attack-on-soldiers/"
"https://taskandpurpose.com/news/uss-theodore-roosevelt-captain-fired-coronavirus-letter/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR0a4S7TX-HMfAXR5qBBPmOzCReATZ-fo681rwvyzfsTesJ0JTwDgpGjkzI";"https://taskandpurpose.com/news/uss-theodore-roosevelt-captain-fired-coronavirus-letter/"
"https://taskandpurpose.com/news/us-army-lithuania-training-infantry/?fbclid=IwAR1Qi9nkfIuYchPbRx5zyfyrJEpmEHN1EdLTDIF-VngMlIUQZAGW8R_nUBc";"https://taskandpurpose.com/news/us-army-lithuania-training-infantry/"
"https://taskandpurpose.com/news/navy-training-bomb-sniffing-dolphins/?fbclid=IwAR1eW8jtZop6A50MUuPF5N0sP2JG8aJT8tEyZ5ZI3nN_cK3W8M1M_sosodY";"https://taskandpurpose.com/news/navy-training-bomb-sniffing-dolphins/"
"https://taskandpurpose.com/news/us-withdrawal-afghanistan/?fbclid=IwAR2dZ1tbradD_iq2b5FtDyI5SELGnaI4Rn9GbL1qKJTVYwY89wVfMs7K9SU";"https://taskandpurpose.com/news/us-withdrawal-afghanistan/"
"https://taskandpurpose.com/news/is-generation-z-joining-the-army/?utm_campaign=trueanthem_manual";"https://taskandpurpose.com/news/is-generation-z-joining-the-army/"
"https://taskandpurpose.com/news/marine-veteran-stopping-revenge-porn/?utm_content=tp-facebook";"https://taskandpurpose.com/news/marine-veteran-stopping-revenge-porn/"
"https://taskandpurpose.com/news/navy-ufo-footage-pilot-reports/?mc_cid=043185a7be&mc_eid=700a8ef3f2";"https://taskandpurpose.com/news/navy-ufo-footage-pilot-reports/"
"https://taskandpurpose.com/news/duncan-hunter-sentenced-prison/?utm_content=buffera3748";"https://taskandpurpose.com/news/duncan-hunter-sentenced-prison/"
"https://taskandpurpose.com/news/air-force-not-creating-skynet/?fbclid=iwar3dfx-t08mavshlatazhg66lvz3ia8y615yueae549rwd4bmls6bonpcom";"https://taskandpurpose.com/news/air-force-not-creating-skynet/"
"https://taskandpurpose.com/military-life/soldiers-and-families-on-hawaii-cutting-electrical-usage-due-to-base-grid-damage/?utm_campaign=trueanthem_manual";"https://taskandpurpose.com/military-life/soldiers-and-families-on-hawaii-cutting-electrical-usage-due-to-base-grid-damage/"
"https://taskandpurpose.com/news/alexander-vindman-retires-army/?li_source=LI&li_medium=m2m-rcw-task-&-purpose";"https://taskandpurpose.com/news/alexander-vindman-retires-army/"
